Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
evt_perk_bottle_open,raw\sound\evt\zombie_global\perksacola\bottle\open\openmn_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,19.234,0,75,75,50,225,350,allon,default,allon,default,8,8,priority,oldest,-100,100,25,50,0.25,1,3d,front,nonlooping,,1,0,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
evt_perk_deny,raw\sound\evt\zombie_global\perksacola\bottle\deny_00.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,75,75,50,225,350,allon,default,allon,default,6,8,priority,oldest,-100,100,25,50,0.25,1,3d,default,nonlooping,,1,0,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
evt_perk_swallow,raw\sound\evt\zombie_global\perksacola\bottle\swallow\swallowmn_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,19.234,0,75,75,50,225,350,allon,default,allon,default,8,8,priority,oldest,-100,100,25,50,0.25,1,3d,front,nonlooping,,1,0,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
evt_belch,raw\sound\evt\zombie_global\perksacola\bottle\belch\belchmn_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,19.234,0,75,75,50,225,350,allon,default,allon,default,8,8,priority,oldest,-100,100,25,50,0.25,1,3d,front,nonlooping,,1,0,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
evt_bottle_break,raw\sound\evt\zombie_global\perksacola\bottle\break\breakmn_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,19.234,0,75,75,50,225,350,allon,default,allon,default,8,8,priority,oldest,-100,100,25,50,0.25,1,3d,front,nonlooping,,1,500,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
evt_bottle_dispense,raw\sound\evt\zombie_global\perksacola\bottle\dispensemn_00.LN55.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,75,75,50,225,350,allon,default,allon,default,6,8,priority,oldest,-100,100,25,50,0.25,1,3d,default,nonlooping,,1,0,25,75,92,0.4,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
zmb_zombie_head_gib,raw\sound\fly\gibs\zombie\head\zombie_head_00.LN55.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,83,83,250,1250,1500,allon,default,allon,default,8,8,priority,oldest,-281,315,10,15,0.25,1,3d,default,nonlooping,,1,0,50,125,98,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
zmb_zombie_head_gib,raw\sound\fly\gibs\zombie\head\zombie_head_01.LN55.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,83,83,250,1250,1500,allon,default,allon,default,8,8,priority,oldest,-281,315,10,15,0.25,1,3d,default,nonlooping,,1,0,50,125,98,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
zmb_zombie_head_gib,raw\sound\fly\gibs\zombie\head\zombie_head_02.LN55.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,83,83,250,1250,1500,allon,default,allon,default,8,8,priority,oldest,-281,315,10,15,0.25,1,3d,default,nonlooping,,1,0,50,125,98,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
zmb_zombie_spawn,raw\sound\evt\zombie_global\spawn\dirt\dirt_00.LN55.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,86,86,250,1000,1125,allon,default,allon,default,3,8,priority,oldest,0,0,40,60,0.25,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
